ESPN Rank,FGA2017,Player Name,Team + Position,GP2017,Min2017,FGP2017,FTP2017,3PM2017,REB2017,AST2017,ATO2017,STL2017,BLK2017,TO2017,PTS2017,GP2018,Min2018,FGP2018,FTP2018,3PM2018,REB2018,AST2018,ATO2018,STL2018,BLK2018,TO2018,PTS2018,3PP2017,3PA2017,DD2017,FTA2017,FTM2017
38,15.4,Goran Dragic, Mia PG,73,33.7,0.475,0.79,1.6,3.8,5.8,2,1.2,0.2,2.9,20.3,77,32,0.462,0.791,1.2,3.8,5.2,1.99,1.1,0.2,2.6,16.4,0.405,4,6,5.2,4.1
39,8.2,Jusuf Nurkic, Por C,65,21.4,0.507,0.571,0,7.2,1.9,0.86,0.8,1.1,2.2,10.2,73,30,0.501,0.619,0.1,9.5,2.7,0.96,1.3,1.6,2.8,14.5,,,13,3.2,1.8
40,10,Otto Porter Jr., Wsh SF,80,32.6,0.516,0.832,1.9,6.4,1.5,2.75,1.5,0.5,0.6,13.4,78,32,0.492,0.811,1.8,5.9,1.8,2.2,1.5,0.5,0.8,13.1,0.434,4,12,1.5,1.2
41,15.6,Brook Lopez, LAL C,75,29.6,0.474,0.81,1.8,5.4,2.3,0.96,0.5,1.7,2.5,20.5,77,28,0.482,0.811,0.9,6.2,2,0.92,0.7,1.5,2.2,18.1,0.346,5,2,4.9,3.9
42,14.5,Kevin Love, Cle PF,60,31.4,0.427,0.871,2.4,11.1,1.9,0.95,0.9,0.4,2,19,76,31,0.426,0.834,2.1,9.8,2.2,1.33,0.9,0.4,1.7,15.9,0.373,6,41,4.9,4.3
43,18.8,Carmelo Anthony, NY SF,74,34.3,0.433,0.833,2,5.9,2.9,1.39,0.8,0.4,2.1,22.4,72,33,0.427,0.824,1.8,6.2,3.3,1.53,0.9,0.4,2.1,19.8,0.359,6,7,4.9,4.1
44,11.1,Jeff Teague, Min PG,82,32.4,0.442,0.867,1.1,4,7.8,2.96,1.2,0.4,2.6,15.3,78,34,0.456,0.851,1.2,3.8,7.8,2.94,1.6,0.5,2.7,15.6,0.357,3,16,5.1,4.4
45,12.4,Serge Ibaka, Tor PF,79,30.7,0.48,0.856,1.6,6.8,0.9,0.71,0.5,1.6,1.3,14.8,77,30,0.46,0.816,1.4,6.7,1.1,0.86,0.5,1.5,1.2,12.2,0.391,4,11,1.6,1.4
46,7.1,DeAndre Jordan, LAC C,81,31.7,0.714,0.482,0,13.8,1.2,0.83,0.6,1.7,1.4,12.7,78,32,0.689,0.463,0,13.5,1.2,0.88,0.8,1.9,1.4,12.3,,,41,5.2,2.5
47,12.7,Nicolas Batum, Cha SF,77,34,0.403,0.856,1.8,6.2,5.9,2.35,1.1,0.4,2.5,15.1,77,34,0.401,0.851,2,5.4,5.6,2.32,1.1,0.4,2.4,13.9,0.333,5,15,3.7,3.2
